locus_tag	name	type	description	functional	strand	rbs_start	rbs_stop	start_position	stop_position	tblist_regulon	tblist_operon	tu_id	functional_category
Rv0860	fadB	CDS	Probable fatty oxidation protein FadB		+	956279	956282	956293	958455			TU0574	lipid metabolism
Rv0861c	ercc3	CDS	DNA helicase Ercc3		-			958523	960151			TU0575	information pathways
Rv0862c	Rv0862c	CDS	Conserved protein		-			960342	962612			TU0576	conserved hypotheticals
Rv0863	Rv0863	CDS	Conserved hypothetical protein		+			962599	962880			TU0577	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0864	moaC2	CDS	Probable molybdenum cofactor biosynthesis protein C 2 MoaC2		+	3710253	3710258	962890	963393			TU0577	intermediary metabolism and respiration
Rv0865	mog	CDS	Probable molybdopterin biosynthesis Mog protein		+			963390	963872			TU0577	intermediary metabolism and respiration
Rv0866	moaE2	CDS	Probable molybdenum cofactor biosynthesis protein E2 MoaE2 (molybdopterin converting factor large subunit) (molybdopterin [MPT] converting factor, subunit 2)		+	3485121	3485124	963869	964294			TU0577	intermediary metabolism and respiration
Rv0867c	rpfA	CDS	Possible resuscitation-promoting factor RpfA		-	965547	965551	964312	965535	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003). Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003). In the Crp|Rv3676 regulon (See Rickman et al., 2005). ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0578	cell wall and cell processes
Rv0868c	moaD2	CDS	Probable molybdenum cofactor biosynthesis protein D 2 MoaD2 (molybdopterin converting factor small subunit) (molybdopterin [MPT] converting factor, subunit 1)		-	3709725	3709729	965983	966261			TU0579	intermediary metabolism and respiration
Rv0869c	moaA2	CDS	Probable molybdenum cofactor biosynthesis protein A2 MoaA2		-			966265	967347			TU0579	intermediary metabolism and respiration
Rv0870c	Rv0870c	CDS	Possible conserved integral membrane protein		-	967738	967742	967344	967733			TU0579	cell wall and cell processes
Rv0871	cspB	CDS	Probable cold shock-like protein B CspB		+			967898	968305			TU0580	virulence, detoxification, adaptation
Rv0872c	PE_PGRS15	CDS	PE-PGRS family protein PE_PGRS15		-	970251	970255	968424	970244			TU0581	PE/PPE
Rv0873	fadE10	CDS	Probable acyl-CoA dehydrogenase FadE10		+	970495	970499	970505	972457			TU0582	lipid metabolism
Rv0874c	Rv0874c	CDS	Conserved hypothetical protein		-			972546	973706			TU0583	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0875c	Rv0875c	CDS	Possible conserved exported protein		-			973806	974294			TU0584	cell wall and cell processes
Rv0876c	Rv0876c	CDS	Possible conserved transmembrane protein		-	975949	975957	974291	975937			TU0584	cell wall and cell processes
Rv0877	Rv0877	CDS	Conserved hypothetical protein		+	976064	976067	976075	976863			TU0585	conserved hypotheticals	Prediction based on GO and InterPro: regulatory proteins (See Mazandu and Mulder, 2012)
Rv0878c	PPE13	CDS	PPE family protein PPE13		-	978211	978213	976872	978203			TU0586	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0879c	Rv0879c	CDS	Possible conserved transmembrane protein		-			978481	978756			TU0587	cell wall and cell processes
Rv0880	Rv0880	CDS	Possible transcriptional regulatory protein (possibly MarR-family)		+			978934	979365			TU0588	regulatory proteins
Rv0881	Rv0881	CDS	Possible rRNA methyltransferase (rRNA methylase)		+			979362	980228			TU0588	intermediary metabolism and respiration
Rv0882	Rv0882	CDS	Probable transmembrane protein		+			980225	980509			TU0588	cell wall and cell processes
Rv0883c	Rv0883c	CDS	Conserved hypothetical protein		-	981273	981277	980506	981267			TU0589	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0884c	serC	CDS	Possible phosphoserine aminotransferase SerC (PSAT)		-			981424	982554	ChIP-PCR and EMSA indicate Crp|Rv3676 binds to the intergenic upstream region (See Bai et al., 2007).		TU0590	intermediary metabolism and respiration
Rv0885	Rv0885	CDS	Conserved hypothetical protein		+	982751	982755	982762	983784	ChIP-PCR and EMSA indicate Crp|Rv3676 binds to the intergenic upstream region (See Bai et al., 2007).		TU0591	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0886	fprB	CDS	Probable NADPH:adrenodoxin oxidoreductase FprB (adrenodoxin reductase) (AR) (ferredoxin-NADP(+) reductase)		+			983803	985530			TU0591	intermediary metabolism and respiration
Rv0887c	Rv0887c	CDS	Conserved hypothetical protein		-	985977	985982	985513	985971			TU0592	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0888	Rv0888	CDS	Probable exported protein		+	987222	987227	987233	988705			TU0593	cell wall and cell processes
Rv0889c	citA	CDS	Probable citrate synthase II CitA		-	989875	989879	988740	989861			TU0594	intermediary metabolism and respiration
Rv0890c	Rv0890c	CDS	Probable transcriptional regulatory protein (probably LuxR-family)		-			989948	992596			TU0595	regulatory proteins
Rv0891c	Rv0891c	CDS	Possible transcriptional regulatory protein		-			992598	993455			TU0595	regulatory proteins
Rv0892	Rv0892	CDS	Probable monooxygenase		+	993847	993850	993853	995340			TU0596	intermediary metabolism and respiration
Rv0893c	Rv0893c	CDS	Possible S-adenosylmethionine-dependent methyltransferase		-			995318	996295			TU0597	lipid metabolism
Rv0894	Rv0894	CDS	Possible transcriptional regulatory protein (possibly LuxR-family)		+			996524	997705			TU0598	regulatory proteins
Rv0895	Rv0895	CDS	Possible triacylglycerol synthase (diacylglycerol acyltransferase)		+	997764	997767	997782	999299			TU0599	lipid metabolism
Rv0896	gltA2	CDS	Probable citrate synthase I GltA2		+	1256122	1256124	999472	1000767	Predicted to be in the SigE|Rv1221 regulon during macrophage (THP-1) infection (See Fontan et al., 2008).		TU0600	intermediary metabolism and respiration
Rv0897c	Rv0897c	CDS	Probable oxidoreductase		-			1000808	1002415			TU0601	intermediary metabolism and respiration
Rv0898c	Rv0898c	CDS	Conserved hypothetical protein		-			1002441	1002704			TU0601	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0899	ompA	CDS	Outer membrane protein A OmpA		+	1002801	1002804	1002812	1003792			TU0602	cell wall and cell processes
Rv0900	Rv0900	CDS	Possible membrane protein		+	1003791	1003796	1003805	1003957			TU0602	cell wall and cell processes
Rv0901	Rv0901	CDS	Possible conserved exported or membrane protein		+			1003957	1004484			TU0602	cell wall and cell processes
Rv0902c	prrB	CDS	Two component sensor histidine kinase PrrB		-			1004501	1005841			TU0603	regulatory proteins
Rv0903c	prrA	CDS	Two component response transcriptional regulatory protein PrrA		-			1005852	1006562			TU0603	regulatory proteins
Rv0904c	accD3	CDS	Putative acetyl-coenzyme A carboxylase carboxyl transferase (subunit beta) AccD3 (accase beta chain)		-			1006693	1008180			TU0604	lipid metabolism
Rv0905	echA6	CDS	Possible enoyl-CoA hydratase EchA6 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)		+			1008207	1008938			TU0605	lipid metabolism
Rv0906	Rv0906	CDS	Conserved protein		+			1008944	1010062			TU0605	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0907	Rv0907	CDS	Conserved protein		+			1010136	1011734			TU0606	cell wall and cell processes
Rv0908	ctpE	CDS	Probable metal cation transporter ATPase P-type CtpE		+			1011731	1014124			TU0606	cell wall and cell processes
Rv0909	Rv0909	CDS	Conserved hypothetical protein		+			1014681	1014860			TU0607	conserved hypotheticals
Rv0910	Rv0910	CDS	Conserved hypothetical protein		+			1014866	1015300			TU0607	conserved hypotheticals
Rv0911	Rv0911	CDS	Conserved protein		+	1015386	1015391	1015398	1016171			TU0608	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0912	Rv0912	CDS	Probable conserved transmembrane protein		+			1016236	1016685			TU0609	cell wall and cell processes
Rv0913c	Rv0913c	CDS	Possible dioxygenase		-			1017217	1018725	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0610	intermediary metabolism and respiration
Rv0914c	Rv0914c	CDS	Possible lipid carrier protein or keto acyl-CoA thiolase		-	1018734	1018737	1018727	1019965			TU0610	lipid metabolism
Rv0915c	PPE14	CDS	PPE family protein PPE14		-	1021339	1021345	1020058	1021329			TU0611	PE/PPE
Rv0916c	PE7	CDS	PE family protein PE7		-	1021650	1021654	1021344	1021643	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU0611	PE/PPE	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0917	betP	CDS	Possible glycine betaine transport integral membrane protein BetP		+	1022074	1022077	1022087	1023868			TU0612	cell wall and cell processes
Rv0918	Rv0918	CDS	Conserved protein		+			1024211	1024687			TU0613	conserved hypotheticals
Rv0919	Rv0919	CDS	GCN5-related N-acetyltransferase		+			1024684	1025184			TU0613	intermediary metabolism and respiration
MTB000014	argT	tRNA	tRNA-Arg (CCT)		-			1025321	1025393				stable RNAs
Rv0920c	Rv0920c	CDS	Probable transposase		-			1025497	1026816			TU0614	insertion seqs and phages
Rv0921	Rv0921	CDS	Possible resolvase		+			1027104	1027685			TU0615	insertion seqs and phages
Rv0922	Rv0922	CDS	Possible transposase		+	1027673	1027677	1027685	1029337			TU0615	insertion seqs and phages
Rv0923c	Rv0923c	CDS	Conserved hypothetical protein		-			1029513	1030577			TU0616	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0924c	mntH	CDS	Divalent cation-transport integral membrane protein MntH (BRAMP) (MRAMP)		-			1030578	1031864			TU0616	cell wall and cell processes
Rv0925c	Rv0925c	CDS	Conserved protein		-			1031896	1032633			TU0616	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0926c	Rv0926c	CDS	Conserved hypothetical protein		-			1032710	1033786	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0617	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0927c	Rv0927c	CDS	Probable short-chain type dehydrogenase/reductase		-	1034637	1034640	1033840	1034631	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0618	intermediary metabolism and respiration
Rv0928	pstS3	CDS	Periplasmic phosphate-binding lipoprotein PstS3 (PBP-3) (PstS3) (PHOS1)		+	1042105	1042108	1034903	1036015			TU0619	cell wall and cell processes
Rv0929	pstC2	CDS	Phosphate-transport integral membrane ABC transporter PstC2		+	1043294	1043297	1036028	1037002			TU0619	cell wall and cell processes
Rv0930	pstA1	CDS	Probable phosphate-transport integral membrane ABC transporter PstA1		+	1036988	1036991	1036999	1037925			TU0619	cell wall and cell processes
Rv0931c	pknD	CDS	Transmembrane serine/threonine-protein kinase D PknD (protein kinase D) (STPK D)		-	1039925	1039928	1037920	1039914			TU0620	regulatory proteins
Rv0932c	pstS2	CDS	Periplasmic phosphate-binding lipoprotein PstS2 (PBP-2) (PstS2)		-	1041054	1041058	1039936	1041048			TU0620	cell wall and cell processes
Rv0933	pstB	CDS	Phosphate-transport ATP-binding protein ABC transporter PstB		+			1041264	1042094			TU0621	cell wall and cell processes
Rv0934	pstS1	CDS	Periplasmic phosphate-binding lipoprotein PstS1 (PBP-1) (PstS1)		+			1042115	1043239			TU0621	cell wall and cell processes
Rv0935	pstC1	CDS	Phosphate-transport integral membrane ABC transporter PstC1		+			1043299	1044315			TU0622	cell wall and cell processes
Rv0936	pstA2	CDS	Phosphate-transport integral membrane ABC transporter PstA2		+			1044317	1045222			TU0622	cell wall and cell processes
Rv0937c	mku	CDS	DNA end-binding protein, Mku		-			1045199	1046020			TU0623	information pathways
Rv0938	ligD	CDS	ATP dependent DNA ligase LigD (ATP dependent polydeoxyribonucleotide synthase) (thermostable DNA ligase) (ATP dependent polynucleotide ligase) (sealase) (DNA repair enzyme) (DNA joinase)		+			1046136	1048415			TU0624	information pathways
Rv0939	Rv0939	CDS	Possible bifunctional enzyme: 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (HHDD isomerase) + cyclase/dehydrase		+			1048412	1050346			TU0624	intermediary metabolism and respiration
Rv0940c	Rv0940c	CDS	Possible oxidoreductase		-			1050593	1051459	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0625	intermediary metabolism and respiration
Rv0941c	Rv0941c	CDS	Conserved hypothetical protein		-			1051544	1052317			TU0626	conserved hypotheticals	Prediction based on GO and InterPro: regulatory proteins (See Mazandu and Mulder, 2012)
Rv0942	Rv0942	CDS	Hypothetical protein		+			1052360	1052638			TU0627	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0943c	Rv0943c	CDS	Probable monooxygenase		-			1052696	1053736			TU0628	intermediary metabolism and respiration
Rv0944	Rv0944	CDS	Possible formamidopyrimidine-DNA glycosylase (FAPY-DNA glycosylase)		+			1053765	1054241			TU0629	information pathways
Rv0945	Rv0945	CDS	Probable short-chain type dehydrogenase/reductase		+			1054247	1055008			TU0629	intermediary metabolism and respiration
Rv0946c	pgi	CDS	Probable glucose-6-phosphate isomerase Pgi (GPI) (phosphoglucose isomerase) (phosphohexose isomerase) (phi)		-			1055024	1056685			TU0630	intermediary metabolism and respiration
Rv0947c	Rv0947c	CDS	Probable mycolyl transferase, pseudogene		-			1057300	1057530	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0631	lipid metabolism
Rv0948c	Rv0948c	CDS	Chorismate mutase		-			1057646	1057963			TU0631	intermediary metabolism and respiration
Rv0949	uvrD1	CDS	Probable ATP-dependent DNA helicase II UvrD1		+			1058260	1060575			TU0632	information pathways
Rv0950c	Rv0950c	CDS	Conserved hypothetical protein		-			1060656	1061654	ChIP-PCR and EMSA indicate Crp|Rv3676 binds to the intergenic upstream region (See Bai et al., 2007).		TU0633	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0951	sucC	CDS	Probable succinyl-CoA synthetase (beta chain) SucC (SCS-beta)		+			1061964	1063127	ChIP-PCR and EMSA indicate Crp|Rv3676 binds to the intergenic upstream region (See Bai et al., 2007).		TU0634	intermediary metabolism and respiration
Rv0952	sucD	CDS	Probable succinyl-CoA synthetase (alpha chain) SucD (SCS-alpha)		+			1063140	1064051			TU0634	intermediary metabolism and respiration
Rv0953c	Rv0953c	CDS	Possible oxidoreductase		-			1064114	1064962	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0635	intermediary metabolism and respiration
Rv0954	Rv0954	CDS	Probable conserved transmembrane protein		+			1065127	1066038			TU0636	cell wall and cell processes
Rv0955	Rv0955	CDS	Probable conserved integral membrane protein		+			1066078	1067445			TU0636	cell wall and cell processes
Rv0956	purN	CDS	Probable 5'-phosphoribosylglycinamide formyltransferase PurN (GART) (gar transformylase) (5'-phosphoribosylglycinamide transformylase)		+			1067561	1068208			TU0637	intermediary metabolism and respiration
Rv0957	purH	CDS	Probable bifunctional purine biosynthesis protein PurH: phosphoribosylaminoimidazolecarboxamide formyltransferase (AICAR transformylase) (5'-phosphoribosyl-5-aminoimidazole-4-carboxamide formyltransferase) + inosinemonophosphate cyclohydrolase (imp cyclohydrolase) (inosinicase) (imp synthetase) (ATIC)		+			1068205	1069776			TU0637	intermediary metabolism and respiration
Rv0958	Rv0958	CDS	Possible magnesium chelatase		+			1069883	1071262			TU0638	intermediary metabolism and respiration
Rv0959	Rv0959	CDS	Conserved hypothetical protein		+			1071255	1073273			TU0638	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0959A	vapB9	CDS	Possible antitoxin VapB9		+			1073327	1073548				virulence, detoxification, adaptation
Rv0960	vapC9	CDS	Possible toxin VapC9		+			1073545	1073928			TU0639	virulence, detoxification, adaptation
Rv0961	Rv0961	CDS	Probable integral membrane protein		+			1074074	1074421			TU0640	cell wall and cell processes
Rv0962c	lprP	CDS	Possible lipoprotein LprP		-			1074440	1075114			TU0641	cell wall and cell processes
Rv0963c	Rv0963c	CDS	Conserved hypothetical protein		-			1075297	1076097			TU0642	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0964c	Rv0964c	CDS	Hypothetical protein		-			1076196	1076678			TU0643	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0965c	Rv0965c	CDS	Conserved hypothetical protein		-			1076778	1077197			TU0644	conserved hypotheticals
Rv0966c	Rv0966c	CDS	Conserved protein		-			1077233	1077835			TU0644	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0967	csoR	CDS	Copper-sensitive operon repressor CsoR		+			1077975	1078334		Rv0967 and Rv0968 are co-transcribed, by RT-PCR (See Liu et al., 2007).	TU0645	regulatory proteins
Rv0968	Rv0968	CDS	Conserved protein		+			1078391	1078687		Rv0967 and Rv0968, Rv0968 and Rv0969 are co-transcribed, by RT-PCR (See Liu et al., 2007).	TU0646	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0969	ctpV	CDS	Probable metal cation transporter P-type ATPase CtpV		+			1078743	1081055		Rv0968 and Rv0969, Rv0969 and Rv0970 are co-transcribed, by RT-PCR (See Liu et al., 2007).	TU0647	cell wall and cell processes
Rv0970	Rv0970	CDS	Probable conserved integral membrane protein		+			1081052	1081684		Rv0969 and Rv0970 are co-transcribed, by RT-PCR (See Liu et al., 2007).	TU0647	cell wall and cell processes
Rv0971c	echA7	CDS	Probable enoyl-CoA hydratase EchA7 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)		-			1081775	1082584			TU0648	lipid metabolism
Rv0972c	fadE12	CDS	Acyl-CoA dehydrogenase FadE12		-			1082584	1083750			TU0648	lipid metabolism
Rv0973c	accA2	CDS	Probable acetyl-/propionyl-coenzyme A carboxylase alpha chain (alpha subunit) AccA2: biotin carboxylase + biotin carboxyl carrier protein (BCCP)		-	1085759	1085763	1083747	1085750			TU0648	lipid metabolism
Rv0974c	accD2	CDS	Probable acetyl-/propionyl-CoA carboxylase (beta subunit) AccD2		-			1085756	1087345	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU0648	lipid metabolism
Rv0975c	fadE13	CDS	Probable acyl-CoA dehydrogenase FadE13		-			1087348	1088496			TU0648	lipid metabolism
Rv0976c	Rv0976c	CDS	Conserved hypothetical protein		-			1088493	1090175			TU0648	conserved hypotheticals	Prediction based on GO and InterPro: lipid metabolism (See Mazandu and Mulder, 2012)
Rv0977	PE_PGRS16	CDS	PE-PGRS family protein PE_PGRS16		+	1090359	1090364	1090373	1093144			TU0649	PE/PPE
Rv0978c	PE_PGRS17	CDS	PE-PGRS family protein PE_PGRS17		-	1094362	1094368	1093361	1094356			TU0650	PE/PPE
Rv0979c	Rv0979c	CDS	Hypothetical protein		-	1095003	1095006	1094670	1094864			TU0652	conserved hypotheticals
Rv0979A	rpmF	CDS	50S ribosomal protein L32 RpmF		+	1094872	1094876	1094886	1095059			TU0651	information pathways
Rv0980c	PE_PGRS18	CDS	PE-PGRS family protein PE_PGRS18		-	1096457	1096463	1095078	1096451			TU0653	PE/PPE
Rv0981	mprA	CDS	Mycobacterial persistence regulator MRPA (two component response transcriptional regulatory protein)		+			1096822	1097508			TU0654	regulatory proteins
Rv0982	mprB	CDS	Two component sensor kinase MprB		+			1097508	1099022			TU0654	regulatory proteins
Rv0983	pepD	CDS	Probable serine protease PepD (serine proteinase) (MTB32B)		+			1099066	1100460			TU0655	intermediary metabolism and respiration
Rv0984	moaB2	CDS	Possible pterin-4-alpha-carbinolamine dehydratase MoaB2 (PHS) (4-alpha- hydroxy-tetrahydropterin dehydratase) (pterin-4-a-carbinolamine dehydratase) (phenylalanine hydroxylase-stimulating protein) (PHS) (pterin carbinolamine dehydratase) (PCD)		+	3478767	3478770	1100460	1101005			TU0655	intermediary metabolism and respiration
Rv0985c	mscL	CDS	Possible large-conductance ion mechanosensitive channel MscL		-			1101025	1101480			TU0656	cell wall and cell processes
Rv0986	Rv0986	CDS	Probable adhesion component transport ATP-binding protein ABC transporter		+	1101793	1101799	1101803	1102549			TU0657	cell wall and cell processes
Rv0987	Rv0987	CDS	Probable adhesion component transport transmembrane protein ABC transporter		+			1102542	1105109			TU0657	cell wall and cell processes
Rv0988	Rv0988	CDS	Possible conserved exported protein		+			1105116	1106276			TU0657	cell wall and cell processes
Rv0989c	grcC2	CDS	Probable polyprenyl-diphosphate synthase GrcC2 (polyprenyl pyrophosphate synthetase)		-			1106405	1107382			TU0658	intermediary metabolism and respiration
Rv0990c	Rv0990c	CDS	Hypothetical protein		-			1107443	1108099			TU0659	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0991c	Rv0991c	CDS	Conserved serine rich protein		-	1108510	1108514	1108172	1108504			TU0660	conserved hypotheticals
Rv0992c	Rv0992c	CDS	Conserved hypothetical protein		-			1108578	1109171			TU0661	conserved hypotheticals
Rv0993	galU	CDS	UTP--glucose-1-phosphate uridylyltransferase GalU (UDP-glucose pyrophosphorylase) (UDPGP) (alpha-D-glucosyl-1-phosphate uridylyltransferase) (uridine diphosphoglucose pyrophosphorylase)		+			1109272	1110192			TU0662	intermediary metabolism and respiration
Rv0994	moeA1	CDS	Probable molybdopterin biosynthesis protein MoeA1		+			1110269	1111549			TU0663	intermediary metabolism and respiration
Rv0995	rimJ	CDS	Ribosomal-protein-alanine acetyltransferase RimJ (acetylating enzyme for N-terminal of ribosomal protein S5)		+			1111612	1112223			TU0664	information pathways
Rv0996	Rv0996	CDS	Probable conserved transmembrane protein		+			1112384	1113460			TU0665	cell wall and cell processes
MTB000015	alaV	tRNA	tRNA-Ala (CGC)		+			1113511	1113583				stable RNAs
Rv0997	Rv0997	CDS	Hypothetical protein		+			1114293	1114724			TU0666	conserved hypotheticals
Rv0998	Rv0998	CDS	Conserved hypothetical protein		+			1114748	1115749			TU0666	conserved hypotheticals
Rv0999	Rv0999	CDS	Unknown protein		+			1115767	1116525			TU0666	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1000c	Rv1000c	CDS	Conserved hypothetical protein		-			1116531	1117148	Thought to be regulated by Rv2720|LEXA.		TU0667	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1001	arcA	CDS	Probable arginine deiminase ArcA (adi) (ad) (arginine dihydrolase)		+			1117185	1118393			TU0668	intermediary metabolism and respiration
Rv1002c	Rv1002c	CDS	Conserved membrane protein		-			1118428	1119939			TU0669	cell wall and cell processes
Rv1003	Rv1003	CDS	Conserved protein		+			1120022	1120879			TU0670	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1004c	Rv1004c	CDS	Probable membrane protein		-			1120889	1122148			TU0671	cell wall and cell processes
Rv1005c	pabB	CDS	Probable para-aminobenzoate synthase component I PABD		-			1122222	1123598			TU0672	intermediary metabolism and respiration
Rv1006	Rv1006	CDS	Unknown protein		+			1123714	1125417			TU0673	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv1007c	metS	CDS	Methionyl-tRNA synthetase MetS (MetRS) (methionine--tRNA ligase)		-			1125444	1127003			TU0674	information pathways
Rv1008	tatD	CDS	Probable deoxyribonuclease TatD (YJJV protein)		+			1127089	1127883			TU0675	cell wall and cell processes
Rv1009	rpfB	CDS	Probable resuscitation-promoting factor RpfB		+			1128091	1129179			TU0676	cell wall and cell processes
Rv1010	ksgA	CDS	Probable dimethyladenosine transferase KsgA (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase) (16S rRNA dimethylase) (high level kasugamycin resistance protein KsgA) (kasugamycin dimethyltransferase)		+			1129152	1130105			TU0676	information pathways
Rv1011	ispE	CDS	Probable 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase IspE (CMK) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)		+			1130191	1131111			TU0677	intermediary metabolism and respiration
Rv1012	Rv1012	CDS	Hypothetical protein		+			1131128	1131421			TU0677	conserved hypotheticals
Rv1013	pks16	CDS	Putative polyketide synthase Pks16		+			1131625	1133259			TU0678	lipid metabolism
Rv1014c	pth	CDS	Probable peptidyl-tRNA hydrolase Pth		-			1133333	1133908			TU0679	intermediary metabolism and respiration
Rv1015c	rplY	CDS	50S ribosomal protein L25 RplY		-			1133921	1134568			TU0679	information pathways
Rv1016c	lpqT	CDS	Probable conserved lipoprotein LpqT		-			1134785	1135465			TU0680	cell wall and cell processes
Rv1017c	prsA	CDS	Probable ribose-phosphate pyrophosphokinase PrsA (phosphoribosyl pyrophosphate synthetase) (PRPP synthetase)		-			1135501	1136481			TU0680	intermediary metabolism and respiration
Rv1018c	glmU	CDS	Probable UDP-N-acetylglucosamine pyrophosphorylase GlmU		-			1136573	1138060			TU0681	cell wall and cell processes
MTB000016	glnT	tRNA	tRNA-Gln (TTG)		-			1138076	1138147				stable RNAs
Rv1019	Rv1019	CDS	Probable transcriptional regulatory protein (probably TetR-family)		+			1138315	1138908			TU0682	regulatory proteins
Rv1020	mfd	CDS	Probable transcription-repair coupling factor Mfd (TRCF)		+			1138967	1142671			TU0683	information pathways
Rv1021	Rv1021	CDS	Conserved protein		+			1142671	1143648			TU0683	conserved hypotheticals
Rv1022	lpqU	CDS	Probable conserved lipoprotein LpqU		+			1143736	1144467			TU0684	cell wall and cell processes
Rv1023	eno	CDS	Probable enolase Eno		+			1144564	1145853			TU0685	intermediary metabolism and respiration
Rv1024	Rv1024	CDS	Possible conserved membrane protein		+			1145858	1146544			TU0685	cell wall and cell processes
Rv1025	Rv1025	CDS	Conserved protein		+			1146561	1147028			TU0685	conserved hypotheticals
Rv1026	Rv1026	CDS	Conserved protein		+			1147019	1147978			TU0685	virulence, detoxification, adaptation
Rv1027c	kdpE	CDS	Probable transcriptional regulatory protein KdpE		-			1148427	1149107	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0686	regulatory proteins
Rv1028c	kdpD	CDS	Probable sensor protein KdpD		-			1149104	1151686			TU0688	regulatory proteins
Rv1028A	kdpF	CDS	Probable membrane protein KdpF		+			1151920	1152012			TU0687	cell wall and cell processes
Rv1029	kdpA	CDS	Probable potassium-transporting ATPase a chain KdpA (potassium-translocating ATPase a chain) (ATP phosphohydrolase [potassium-transporting] a chain) (potassium binding and translocating subunit A)		+			1152012	1153727			TU0689	cell wall and cell processes
Rv1030	kdpB	CDS	Probable potassium-transporting P-type ATPase B chain KdpB (potassium-translocating ATPase B chain) (ATP phosphohydrolase [potassium-transporting] B chain) (potassium binding and translocating subunit B)		+			1153724	1155853			TU0689	cell wall and cell processes
Rv1031	kdpC	CDS	Probable potassium-transporting ATPase C chain KdpC (potassium-translocating ATPase C chain) (ATP phosphohydrolase [potassium-transporting] C chain) (potassium binding and translocating subunit C)		+			1155853	1156422			TU0689	cell wall and cell processes
